#OTU_num	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031	Taxonomy
ASV50	112.0	27.0	35.0	28.0	110.0	6258.0	18.0	162.0	705.0	28.0	131.0	3864.0	84.0	41.0	74.0	0.0	144.0	333.0	42.0	0.0	19.0	3.0	32.0	91.0	11.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_mucosae
ASV51	83.0	57.0	57.0	0.0	124.0	200.0	1464.0	184.0	7016.0	147.0	0.0	41.0	83.0	322.0	691.0	70.0	0.0	0.0	184.0	74.0	112.0	625.0	0.0	0.0	140.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV52	206.0	0.0	0.0	0.0	223.0	0.0	16.0	278.0	101.0	215.0	97.0	74.0	4452.0	261.0	666.0	496.0	2282.0	170.0	994.0	651.0	0.0	0.0	11.0	17.0	284.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
ASV53	59.0	209.0	0.0	115.0	71.0	60.0	0.0	75.0	53.0	545.0	10.0	374.0	125.0	56.0	37.0	33.0	27.0	68.0	43.0	124.0	583.0	7880.0	177.0	132.0	354.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__
ASV54	337.0	711.0	129.0	708.0	437.0	64.0	132.0	334.0	480.0	271.0	3237.0	492.0	566.0	221.0	286.0	279.0	140.0	151.0	258.0	182.0	236.0	481.0	178.0	422.0	451.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__
ASV55	135.0	58.0	457.0	0.0	0.0	0.0	0.0	608.0	0.0	157.0	0.0	0.0	216.0	1042.0	246.0	472.0	0.0	46.0	1275.0	1121.0	41.0	1260.0	0.0	0.0	4001.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
ASV56	82.0	58.0	3453.0	368.0	126.0	383.0	2733.0	53.0	138.0	270.0	1934.0	97.0	25.0	45.0	113.0	0.0	14.0	381.0	143.0	41.0	393.0	29.0	72.0	59.0	60.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV57	242.0	149.0	4901.0	144.0	241.0	66.0	285.0	628.0	95.0	286.0	163.0	58.0	273.0	208.0	305.0	886.0	85.0	42.0	128.0	123.0	139.0	582.0	125.0	219.0	328.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea
ASV58	0.0	0.0	0.0	38.0	0.0	0.0	0.0	154.0	0.0	78.0	9157.0	114.0	122.0	119.0	93.0	0.0	58.0	163.0	0.0	0.0	0.0	0.0	393.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_ruminis
ASV59	60.0	0.0	46.0	0.0	0.0	0.0	0.0	4666.0	156.0	54.0	0.0	42.0	945.0	225.0	3708.0	39.0	105.0	87.0	98.0	98.0	0.0	0.0	0.0	0.0	79.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV60	2195.0	294.0	1046.0	4155.0	261.0	111.0	72.0	474.0	185.0	42.0	83.0	86.0	107.0	94.0	131.0	11.0	34.0	56.0	19.0	36.0	11.0	110.0	133.0	244.0	323.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_merdae
ASV61	0.0	207.0	22.0	0.0	0.0	195.0	0.0	426.0	116.0	244.0	19.0	86.0	135.0	1003.0	79.0	0.0	53.0	5753.0	74.0	43.0	25.0	753.0	0.0	338.0	518.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_caccae
ASV62	696.0	248.0	1910.0	719.0	482.0	41.0	65.0	104.0	536.0	639.0	76.0	38.0	420.0	417.0	502.0	160.0	69.0	29.0	139.0	175.0	507.0	500.0	144.0	231.0	816.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
ASV63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	7464.0	85.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	1134.0	0.0	417.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_ruminis
ASV64	108.0	562.0	0.0	0.0	203.0	0.0	0.0	216.0	34.0	102.0	127.0	0.0	1412.0	984.0	318.0	0.0	1092.0	81.0	1369.0	1402.0	0.0	0.0	1163.0	0.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
ASV65	1956.0	121.0	50.0	726.0	704.0	164.0	134.0	0.0	163.0	784.0	0.0	77.0	121.0	340.0	58.0	0.0	0.0	2628.0	0.0	0.0	0.0	255.0	106.0	522.0	125.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus
ASV66	0.0	67.0	179.0	0.0	243.0	0.0	0.0	186.0	54.0	105.0	52.0	57.0	335.0	525.0	227.0	4690.0	1511.0	95.0	323.0	98.0	5.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella
ASV67	25.0	93.0	142.0	7.0	56.0	5.0	27.0	313.0	72.0	123.0	69.0	102.0	370.0	114.0	4560.0	0.0	42.0	66.0	861.0	796.0	29.0	35.0	62.0	633.0	106.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Eubacterium_coprostanoligenes_group;g__Eubacterium_coprostanoligenes_group;s__
ASV68	104.0	614.0	822.0	0.0	188.0	4610.0	60.0	0.0	0.0	69.0	0.0	0.0	0.0	69.0	69.0	0.0	0.0	184.0	477.0	510.0	0.0	857.0	0.0	0.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV69	3379.0	0.0	0.0	1143.0	2234.0	1045.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	351.0	0.0	226.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__Dialister_succinatiphilus
ASV70	0.0	0.0	0.0	0.0	0.0	0.0	87.0	3019.0	75.0	78.0	42.0	59.0	68.0	88.0	89.0	0.0	43.0	58.0	2760.0	1875.0	23.0	71.0	61.0	20.0	71.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Eubacterium_coprostanoligenes_group;g__Eubacterium_coprostanoligenes_group;s__
ASV71	103.0	87.0	1987.0	61.0	2574.0	29.0	35.0	1250.0	57.0	93.0	37.0	33.0	44.0	1108.0	294.0	128.0	72.0	31.0	64.0	73.0	3.0	213.0	51.0	5.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Eubacterium_coprostanoligenes_group;g__Eubacterium_coprostanoligenes_group;s__
ASV72	145.0	80.0	3508.0	341.0	84.0	18.0	31.0	734.0	35.0	117.0	71.0	75.0	396.0	682.0	281.0	0.0	97.0	46.0	55.0	63.0	11.0	630.0	115.0	395.0	221.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group;s__
ASV73	0.0	0.0	0.0	171.0	0.0	81.0	0.0	45.0	35.0	7262.0	22.0	42.0	68.0	112.0	55.0	0.0	39.0	71.0	51.0	0.0	0.0	124.0	0.0	0.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprophilus
ASV74	4.0	15.0	0.0	0.0	0.0	20.0	375.0	20.0	191.0	8.0	344.0	299.0	22.0	41.0	15.0	4204.0	0.0	660.0	26.0	32.0	1528.0	42.0	61.0	79.0	47.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__
ASV75	0.0	113.0	0.0	0.0	0.0	0.0	26.0	160.0	71.0	92.0	0.0	63.0	100.0	5937.0	302.0	420.0	124.0	72.0	222.0	212.0	0.0	0.0	0.0	7.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__
