,0
ASV786,148.0
ASV787,147.0
ASV788,147.0
ASV789,146.0
ASV790,146.0
ASV793,145.0
ASV794,145.0
ASV796,145.0
ASV792,145.0
ASV791,145.0
ASV795,145.0
ASV797,144.0
ASV798,144.0
ASV799,143.0
ASV801,143.0
ASV800,143.0
ASV802,142.0
ASV803,141.0
ASV804,141.0
ASV807,140.0
ASV808,140.0
ASV806,140.0
ASV805,140.0
ASV809,139.0
ASV810,139.0
ASV811,139.0
ASV812,138.0
ASV813,138.0
ASV814,138.0
ASV815,138.0
ASV818,137.0
ASV819,137.0
ASV816,137.0
ASV817,137.0
ASV820,136.0
ASV821,135.0
ASV822,135.0
ASV823,135.0
ASV824,134.0
ASV825,134.0
ASV826,134.0
ASV827,133.0
ASV828,133.0
ASV829,132.0
ASV830,132.0
ASV831,132.0
ASV836,131.0
ASV835,131.0
ASV834,131.0
ASV833,131.0
ASV832,131.0
ASV837,130.0
ASV838,130.0
ASV839,130.0
ASV840,129.0
ASV841,129.0
ASV842,128.0
ASV843,127.0
ASV844,126.0
ASV845,126.0
ASV846,126.0
ASV847,126.0
ASV848,125.0
ASV849,124.0
ASV850,124.0
ASV851,124.0
ASV852,124.0
ASV853,123.0
ASV854,122.0
ASV856,122.0
ASV855,122.0
ASV857,121.0
ASV858,121.0
ASV859,121.0
ASV860,120.0
ASV861,120.0
ASV862,120.0
ASV865,119.0
ASV863,119.0
ASV864,119.0
ASV866,118.0
ASV867,118.0
ASV868,118.0
ASV869,118.0
ASV870,118.0
ASV872,117.0
ASV873,117.0
ASV871,117.0
ASV875,116.0
ASV874,116.0
ASV876,116.0
ASV877,115.0
ASV878,115.0
ASV879,115.0
ASV880,115.0
ASV883,114.0
ASV882,114.0
ASV881,114.0
ASV884,113.0
ASV885,113.0
ASV886,112.0
ASV887,112.0
ASV888,112.0
ASV889,112.0
ASV890,111.0
ASV893,110.0
ASV892,110.0
ASV891,110.0
ASV894,109.0
ASV895,109.0
ASV896,109.0
ASV897,108.0
ASV898,108.0
ASV899,108.0
ASV900,108.0
ASV901,108.0
ASV902,107.0
ASV903,106.0
ASV904,106.0
ASV905,105.0
ASV906,105.0
ASV907,105.0
ASV908,105.0
ASV909,104.0
ASV910,103.0
ASV914,102.0
ASV913,102.0
ASV912,102.0
ASV911,102.0
ASV915,101.0
ASV916,100.0
ASV917,100.0
ASV918,100.0
ASV919,100.0
ASV920,99.0
ASV921,98.0
ASV923,98.0
ASV922,98.0
ASV924,97.0
ASV925,97.0
ASV926,97.0
ASV927,96.0
ASV928,95.0
ASV929,95.0
ASV932,94.0
ASV933,94.0
ASV931,94.0
ASV930,94.0
ASV934,92.0
ASV935,92.0
ASV936,92.0
ASV937,92.0
ASV938,91.0
ASV939,90.0
ASV944,89.0
ASV943,89.0
ASV942,89.0
ASV941,89.0
ASV940,89.0
ASV945,88.0
ASV946,88.0
ASV947,88.0
ASV948,88.0
ASV949,88.0
ASV950,88.0
ASV951,88.0
ASV953,87.0
ASV954,87.0
ASV952,87.0
ASV957,86.0
ASV955,86.0
ASV956,86.0
ASV961,85.0
ASV962,85.0
ASV958,85.0
ASV960,85.0
ASV959,85.0
ASV963,84.0
ASV964,84.0
ASV966,83.0
ASV967,83.0
ASV968,83.0
ASV969,83.0
ASV965,83.0
ASV970,82.0
ASV971,82.0
ASV974,81.0
ASV976,81.0
ASV975,81.0
ASV973,81.0
ASV972,81.0
ASV977,80.0
ASV978,80.0
ASV979,80.0
ASV980,80.0
ASV986,79.0
ASV985,79.0
ASV984,79.0
ASV983,79.0
ASV982,79.0
ASV981,79.0
ASV987,78.0
ASV988,78.0
ASV989,78.0
ASV990,78.0
ASV991,78.0
ASV992,78.0
ASV994,77.0
ASV993,77.0
ASV995,76.0
ASV996,76.0
ASV997,76.0
ASV998,75.0
ASV999,75.0
ASV1000,74.0
ASV1001,74.0
ASV1002,74.0
ASV1005,73.0
ASV1006,73.0
ASV1003,73.0
ASV1004,73.0
ASV1007,72.0
ASV1008,72.0
ASV1009,72.0
ASV1010,72.0
ASV1016,71.0
ASV1015,71.0
ASV1014,71.0
ASV1013,71.0
ASV1011,71.0
ASV1012,71.0
ASV1017,70.0
ASV1018,70.0
ASV1019,70.0
ASV1020,69.0
ASV1021,69.0
ASV1022,69.0
ASV1026,68.0
ASV1027,68.0
ASV1024,68.0
ASV1025,68.0
ASV1023,68.0
ASV1028,67.0
ASV1029,67.0
ASV1030,67.0
ASV1031,67.0
ASV1032,66.0
ASV1036,65.0
ASV1035,65.0
ASV1033,65.0
ASV1034,65.0
ASV1041,64.0
ASV1044,64.0
ASV1042,64.0
